name,team,cmppct,tdpct,intpct,skpct,pacr,adjepacpoe,epaatt,anyatt,passrtg,year,mvp
Jimmy Garoppolo,SF,67.14285714,5,3.571428571,7.284768212,1.246871445,0.120729082,0.177682671,6.185430464,92.44047619,2020,0
Brandon Allen,CIN,63.38028169,3.521126761,2.816901408,4.697986577,0.984042553,0.016891205,-0.066948383,5.32885906,82.04225352,2020,0
Carson Wentz,PHI,57.43707094,3.661327231,3.432494279,10.26694045,0.683537699,0.011150019,-0.199080856,3.981519507,72.83085431,2020,0
Dak Prescott,DAL,68.01801802,4.054054054,1.801801802,4.310344828,1.053348468,0.117492799,0.144224302,7.715517241,99.60585586,2020,0
Jared Goff,LA,66.88963211,3.678929766,2.173913043,4.625199362,1.089590227,0.079726345,0.041317315,6.274322169,90.85841695,2020,0
Nick Mullens,SF,64.72392638,3.680981595,3.680981595,5.507246377,1.187043351,0.059355427,0.009258801,5.791304348,84.1002045,2020,0
Taysom Hill,NO,72.72727273,3.305785124,1.652892562,11.02941176,1.100830368,0.106902851,-0.0231922,6.088235294,98.77754821,2020,0
Deshaun Watson,HOU,70.22058824,6.066176471,1.286764706,8.26306914,0.997105644,0.165472717,0.245301389,8.220910624,112.4004289,2020,0
Mitchell Trubisky,CHI,66.87116564,5.214723926,2.45398773,5.507246377,0.865923934,0.088908452,0.077063773,6.089855072,93.77556237,2020,0
Patrick Mahomes,KC,66.09929078,5.957446809,1.134751773,3.556771546,0.983808518,0.167406811,0.285415325,8.065663475,105.3339243,2020,0
C.J. Beathard,SF,63.46153846,5.769230769,0,7.96460177,0.939140811,0.080858364,0.097742293,7.398230088,105.7291667,2020,0
Lamar Jackson,BAL,64.38679245,6.132075472,2.594339623,8.026030369,0.854856512,0.116835125,0.107364826,6.344902386,95.81367925,2020,0
Baker Mayfield,CLE,62.65709156,5.385996409,1.615798923,4.623287671,0.884742042,0.134681218,0.186076083,6.943493151,95.66502095,2020,0
Josh Allen,BUF,68.35260116,6.069364162,1.589595376,4.683195592,0.902677218,0.173278731,0.247142726,7.511019284,104.9313584,2020,0
Sam Darnold,NYJ,59.61538462,2.472527473,3.021978022,8.771929825,0.790264853,0.01437556,-0.211437236,4.157894737,72.68772894,2020,0
Kyler Murray,ARI,67.20430108,4.659498208,2.150537634,4.615384615,0.914976959,0.115792815,0.060580275,6.452991453,94.31003584,2020,0
Dwayne Haskins,WAS,61.41078838,2.074688797,2.904564315,7.662835249,0.887176326,-0.004023109,-0.164199795,4.149425287,72.95124481,2020,0
